year,month,rainfall
1990,january,302.3
1990,february,109.9
1990,march,30.1
1990,april,22
1990,may,40.1
1990,june,10.2
1990,july,1.1
1990,august,9.8
1990,september,1.7
1990,october,3.8
1990,november,80.5
1990,december,100.1
1991,january,198.3
1991,february,252
1991,march,182.2
1991,april,36.4
1991,may,1.1
1991,june,6.8
1991,july,13
1991,august,4.4
1991,september,1.7
1991,october,54.6
1991,november,105.8
1991,december,166
1992,january,206.7
1992,february,9
1992,march,118.7
1992,april,90.5
1992,may,1.7
1992,june,15.8
1992,july,7.8
1992,august,21.1
1992,september,0
1992,october,13.2
1992,november,76.3
1992,december,169
1993,january,426.1
1993,february,247
1993,march,123.4
1993,april,467.7
1993,may,3.3
1993,june,49.1
1993,july,11.5
1993,august,9
1993,september,2.8
1993,october,45.5
1993,november,79.3
1993,december,125.2
1994,january,330.7
1994,february,207.1
1994,march,150.2
1994,april,70.9
1994,may,0.7
1994,june,7.9
1994,july,0
1994,august,0
1994,september,83
1994,october,0
1994,november,27
1994,december,131.1
1995,january,257.2
1995,february,130.7
1995,march,28.2
1995,april,7.6
1995,may,20.7
1995,june,10
1995,july,7.9
1995,august,0
1995,september,0
1995,october,0
1995,november,184.6
1995,december,421
1996,january,211.7
1996,february,269.2
1996,march,126.2
1996,april,32.8
1996,may,8.9
1996,june,0
1996,july,3.9
1996,august,0
1996,september,0
1996,october,0
1996,november,33.7
1996,december,314
1997,january,432
1997,february,489.6
1997,march,158
1997,april,51
1997,may,12.5
1997,june,7.2
1997,july,4.1
1997,august,2
1997,september,5.1
1997,october,35.1
1997,november,76.5
1997,december,287.6
1998,january,266.1
1998,february,168.2
1998,march,159
1998,april,25.5
1998,may,0.3
1998,june,4.7
1998,july,5.2
1998,august,7.3
1998,september,0
1998,october,12.5
1998,november,109.4
1998,december,215.8
1999,january,384.6
1999,february,305.7
1999,march,263.1
1999,april,93.5
1999,may,0.1
1999,june,18.6
1999,july,7.1
1999,august,0
1999,september,0.4
1999,october,81.3
1999,november,92.1
1999,december,92.8
2000,january,312.2
2000,february,339.6
2000,march,127.3
2000,april,32.1
2000,may,22.4
2000,june,0
2000,july,0
2000,august,0
2000,september,0.2
2000,october,35.3
2000,november,153.1
2000,december,173.3
2001,january,175.6
2001,february,390.1
2001,march,261.6
2001,april,48
2001,may,17.5
2001,june,2.2
2001,july,3.9
2001,august,4
2001,september,15.9
2001,october,23
2001,november,90.6
2001,december,247.4
2002,january,274.8
2002,february,199.4
2002,march,646.9
2002,april,137.1
2002,may,8
2002,june,15.5
2002,july,11
2002,august,15.3
2002,september,16.4
2002,october,28
2002,november,28
2002,december,297.1
2003,january,247.9
2003,february,301.5
2003,march,207.8
2003,april,6.9
2003,may,11.2
2003,june,7.2
2003,july,15.1
2003,august,4
2003,september,3.8
2003,october,0.2
2003,november,23.5
2003,december,82.1
2004,january,246.7
2004,february,400
2004,march,171.5
2004,april,120.3
2004,may,20.5
2004,june,0
2004,july,0
2004,august,4.4
2004,september,0.4
2004,october,59.9
2004,november,171.8
2004,december,274.4
2005,january,215.6
2005,february,103.8
2005,march,6.2
2005,april,15.5
2005,may,0
2005,june,3.4
2005,july,11.8
2005,august,0
2005,september,29.7
2005,october,0
2005,november,81.9
2005,december,261.6
2006,january,300.4
2006,february,289.1
2006,march,249.3
2006,april,83.7
2006,may,2.8
2006,june,5.7
2006,july,3.4
2006,august,0
2006,september,30
2006,october,1.9
2006,november,186
2006,december,216.3
2007,january,339.6
2007,february,269.9
2007,march,160.9
2007,april,32.5
2007,may,9.5
2007,june,10
2007,july,16.1
2007,august,5
2007,september,3.5
2007,october,20
2007,november,50.8
2007,december,374.2
2008,january,396.5
2008,february,68.4
2008,march,127.1
2008,april,0
2008,may,1.3
2008,june,8.8
2008,july,4.1
2008,august,15.6
2008,september,0
2008,october,13.5
2008,november,36
2008,december,384.6
2009,january,279.4
2009,february,227.7
2009,march,162.5
2009,april,34.3
2009,may,10.5
2009,june,9
2009,july,0
2009,august,7.5
2009,september,0
2009,october,0
2009,november,118
2009,december,179.4
2010,january,181
2010,february,405.5
2010,march,194.5
2010,april,131.9
2010,may,0
2010,june,8.6
2010,july,23.3
2010,august,15.5
2010,september,0.6
2010,october,8.2
2010,november,162.5
2010,december,306.3
2011,january,215.6
2011,february,76.7
2011,march,211.5
2011,april,85.9
2011,may,1.1
2011,june,0.7
2011,july,8.2
2011,august,2
2011,september,0
2011,october,74
2011,november,0
2011,december,126.9
2012,january,349.4
2012,february,112.2
2012,march,204.8
2012,april,35.3
2012,may,3.5
2012,june,8
2012,july,0
2012,august,0.5
2012,september,0
2012,october,34.8
2012,november,14.7
2012,december,289.4
2013,january,296
2013,february,404.5
2013,march,198.7
2013,april,22.7
2013,may,7.5
2013,june,30.7
2013,july,5.1
2013,august,1.7
2013,september,3.7
2013,october,80.2
2013,november,57.4
2013,december,205.6
2014,january,260.8
2014,february,215.2
2014,march,36.8
2014,april,25
2014,may,15.5
2014,june,6.1
2014,july,24.9
2014,august,0
2014,september,7.9
2014,october,9.7
2014,november,1.2
2014,december,209.9
2015,january,886.9
2015,february,216.9
2015,march,89.5
2015,april,131.1
2015,may,0.7
2015,june,2.5
2015,july,0
2015,august,0
2015,september,2
2015,october,18.9
2015,november,39.7
2015,december,194.6
2016,january,201.2
2016,february,215.1
2016,march,105.5
2016,april,14.8
2016,may,6.1
2016,june,7.4
2016,july,25
2016,august,1.5
2016,september,0
2016,october,10.6
2016,november,146.4
2016,december,219.6
2017,january,209.3
2017,february,180.7
2017,march,131.4
2017,april,89.7
2017,may,5.6
2017,june,0.1
2017,july,1.5
2017,august,1.9
2017,september,0
2017,october,21.2
2017,november,114.4
2017,december,198.8
2018,january,115.8
2018,february,263.5
2018,march,78.6
2018,april,130.6
2018,may,11
2018,june,20
2018,july,270
2018,august,0
2018,september,7.9
2018,october,29.4
2018,november,127.8
2018,december,420.5
2019,january,415
2019,february,162.2
2019,march,369.1
2019,april,66.6
2019,may,16.4
2019,june,13.6
2019,july,8.5
2019,august,5
2019,september,3.7
2019,october,26.6
2019,november,124.6
2019,december,212.9
2020,january,532
2020,february,194.7
2020,march,27.1
2020,april,14.8
2020,may,11.8
2020,june,1.2
2020,july,21.7
2020,august,1.5
2020,september,0
2020,october,0
2020,november,68
2020,december,102.9
2021,january,290.7
2021,february,247.5
2021,march,102.3
2021,april,17.6
2021,may,4.9
2021,june,5.6
2021,july,17.7
2021,august,0.3
2021,september,0
2021,october,16.4
2021,november,52.1
2021,december,85.3
2022,january,573.7
2022,february,268.1
2022,march,216.6
2022,april,43.5
2022,may,0
2022,june,35.2
2022,july,0.9
2022,august,3.6
2022,september,2.5
2022,october,3.4
2022,november,67.5
2022,december,349.6
2023,january,314.5
2023,february,241.2
2023,march,672.9
2023,april,80.5
2023,may,0
2023,june,0
2023,july,0
2023,august,0
2023,september,0
2023,october,38.3
2023,november,45.2
2023,december,200.3
2024,january,331
2024,february,233
2024,march,512
2024,april,393
2024,may,18.8
2024,june,16.6

